ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Acme Corporation,5,"T001,T002,T003",enterprise,"{""budget"": 100000, ""deadline"": ""2024-03-15"", ""contact"": ""john.doe@acme.com""}"
C002,Tech Solutions Inc,4,"T004,T005",standard,"{""budget"": 75000, ""deadline"": ""2024-04-01"", ""contact"": ""sarah.smith@techsol.com""}"
C003,Global Dynamics,3,"T006,T007,T008",enterprise,"{""budget"": 120000, ""deadline"": ""2024-05-01"", ""contact"": ""mike.johnson@globaldyn.com""}"
C004,StartupXYZ,2,"T009,T010",startup,"{""budget"": 25000, ""deadline"": ""2024-06-01"", ""contact"": ""lisa.wong@startupxyz.com""}"
C005,MegaCorp Industries,5,"T001,T011,T012",enterprise,"{""budget"": 200000, ""deadline"": ""2024-02-28"", ""contact"": ""david.brown@megacorp.com""}"
C006,Innovation Labs,3,"T013,T014",research,"{""budget"": 50000, ""deadline"": ""2024-07-01"", ""contact"": ""emma.davis@innovlabs.com""}"
C007,Digital Ventures,4,"T015,T016,T017",standard,"{""budget"": 80000, ""deadline"": ""2024-04-15"", ""contact"": ""alex.wilson@digitalvent.com""}"
C008,Future Systems,2,"T018,T019",startup,"{""budget"": 30000, ""deadline"": ""2024-08-01"", ""contact"": ""rachel.taylor@futuresys.com""}"
C009,Enterprise Solutions,5,"T020,T021,T022",enterprise,"{""budget"": 150000, ""deadline"": ""2024-03-01"", ""contact"": ""james.anderson@entsol.com""}"
C010,Creative Agency,1,"T023,T024",creative,"{""budget"": 15000, ""deadline"": ""2024-09-01"", ""contact"": ""sophia.martinez@creative.com""}"
